,Date,Open,High,Low,Close,Adj Close,Volume
,6/3/2019,1065.5,1065.5,1025,1036.22998,1036.22998,5130600
,6/4/2019,1042.900024,1056.050049,1033.689941,1053.050049,1053.050049,2833500
,6/5/2019,1051.540039,1053.550049,1030.48999,1042.219971,1042.219971,2168400
,6/6/2019,1044.98999,1047.48999,1033.699951,1044.339966,1044.339966,1703200
,6/7/2019,1050.630005,1070.920044,1048.400024,1066.040039,1066.040039,1802400
,6/10/2019,1072.97998,1092.660034,1072.322021,1080.380005,1080.380005,1464200
,6/11/2019,1093.97998,1101.98999,1077.603027,1078.719971,1078.719971,1436700
,6/12/2019,1078,1080.930054,1067.540039,1077.030029,1077.030029,1061000
,6/13/2019,1083.640015,1094.170044,1080.150024,1088.77002,1088.77002,1057700
,6/14/2019,1086.420044,1092.689941,1080.171997,1085.349976,1085.349976,1111500
,6/17/2019,1086.280029,1099.180054,1086.280029,1092.5,1092.5,941600
,6/18/2019,1109.689941,1116.390015,1098.98999,1103.599976,1103.599976,1386700
,6/19/2019,1105.599976,1107,1093.47998,1102.329956,1102.329956,1338800
,6/20/2019,1119.98999,1120.119995,1104.73999,1111.420044,1111.420044,1262000
,6/21/2019,1109.23999,1124.109985,1108.079956,1121.880005,1121.880005,1947600
,6/24/2019,1119.609985,1122,1111.01001,1115.52002,1115.52002,1395600
,6/25/2019,1112.660034,1114.349976,1083.800049,1086.349976,1086.349976,1546900
,6/26/2019,1086.5,1092.969971,1072.23999,1079.800049,1079.800049,1810900
,6/27/2019,1084,1087.099976,1075.290039,1076.01001,1076.01001,1004300
,6/28/2019,1076.390015,1081,1073.369995,1080.910034,1080.910034,1693200
